nome_time;nome_time_fbref;id_fbref
Água Santa;;
Botafogo-SP;Botafogo–SP;3cc399a5
Corinthians;SC Corinthians Paulista;bf4acd28
Guarani;Guarani FC;341d7cb0
Inter de Limeira;;
Mirassol;Mirassol Futebol Clube;289e8847
Noroeste;;
Novorizontino;Grêmio Novorizontino;7a1064a2
Palmeiras;SE Palmeiras;abdce579
Ponte Preta;;
Portuguesa;;
RB Bragantino;Red Bull Bragantino;f98930d1
Santos;Santos FC;712c528f
São Bernardo;São Bernardo FC;6bdf6758
São Paulo;São Paulo FC;5f232eb1
Velo Clube;Clube do Remo;2d4d7b6a
Andraus;;
Athletico Paranaense;Club Athletico Paranaense;2091c619
Azuriz;;
Cascavel;;
Cianorte;;
Coritiba;Coritiba FC;d680d257
Londrina;Londrina Esporte Clube;7886dd6c
Maringa;;
Operario Ferroviario;Operário Ferroviário Esporte Clube;d2dc922e
Parana Clube;Paraná Clube;ab17f2e9
Rio Branco;;
São Joseense;;
Avenida;;
Brasil de Pelotas;;
Caxias;;
Gremio;;
Guarany de Bage;;
Internacional;SC Internacional;6f7e1f03
Juventude;EC Juventude;d081b697
Monsoon;;
Pelotas;;
São Jose;;
São Luiz;;
Ypiranga;;
America-MG;América FC (MG);1f68d780
Athletic Club;Athletic Club;5237f85d
Atlético Mineiro;Clube Atlético Mineiro;422bb734
Aymores;;
Betim;;
Cruzeiro;Cruzeiro Esporte Clube;03ff5eeb
Democrata-GV;;
Itabirito;;
Pouso Alegre;;
Tombense;Tombense Futebol Clube;7821139a
Uberlandia;;
Villa Nova;Vila Nova FC;f050c492
Bangu;;
Boavista;;
Botafogo;Botafogo–RJ;d9fdd9d9
Flamengo;CR Flamengo;639950ae
Fluminense;Fluminense FC;84d9701c
Madureira;;
Marica;Macaé Esporte FC;f430869b
Nova Iguacu;;
Portuguesa-RJ;;
Sampaio Correa;Sampaio Corrêa FC;740be0b0
Vasco da Gama;CR Vasco da Gama;83f55dbe
Volta Redonda;Volta Redonda FC;02b8d5d3
