time;nome;nacionalidade;posicao;idade;qt_jogos;qt_jogos_titular;minutos_jogados;minutos_jogados_divid_90;gols;assistencias;participacoes_gols;gols_nao_penalti;gols_penalti;chutes_penalti;cartoes_amarelo;cartoes_vermelho;gols_90;assistencias_90;participacoes_gols_90;gols_nao_penalti_90;participacoes_gols_e_penalti_90
Botafogo-SP;Victor Souza;brBRA;Goleiro;32;34;34;3,060;34.0;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00
Botafogo-SP;Gabriel Risso Patrón;arARG;Defensor;29;35;32;2,717;30.2;0;1;1;0;0;0;4;0;0.00;0.03;0.03;0.00;0.03
Botafogo-SP;Jefferson Nem;brBRA;Meio-campista;28;31;27;2,267;25.2;3;3;6;3;0;0;2;0;0.12;0.12;0.24;0.12;0.24
Botafogo-SP;Leandro Maciel;arARG;Meio-campista;29;35;25;2,319;25.8;3;1;4;2;1;1;10;0;0.12;0.04;0.16;0.08;0.12
Botafogo-SP;Jeferson;brBRA;Defensor;28;28;24;2,050;22.8;0;1;1;0;0;0;5;0;0.00;0.04;0.04;0.00;0.04
Botafogo-SP;Gabriel Bispo;brBRA;Meio-campista;27;27;24;2,036;22.6;1;2;3;1;0;0;5;0;0.04;0.09;0.13;0.04;0.13
Botafogo-SP;Ericson;brBRA;Defensor;25;26;23;2,074;23.0;1;0;1;1;0;0;4;0;0.04;0.00;0.04;0.04;0.04
Botafogo-SP;Jonathan Cafu;brBRA;Meio-campista;33;33;23;1,861;20.7;2;2;4;2;0;0;3;0;0.10;0.10;0.19;0.10;0.19
Botafogo-SP;Wesley;brBRA;Meio-campista;29;20;18;1,482;16.5;1;0;1;1;0;0;4;0;0.06;0.00;0.06;0.06;0.06
Botafogo-SP;Alejo Dramisino;arARG;Meio-campista;24;28;17;1,500;16.7;1;1;2;1;0;0;5;0;0.06;0.06;0.12;0.06;0.12
Botafogo-SP;Carlão;brBRA;Defensor;23;19;16;1,480;16.4;0;0;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00
