id_db;nome;id_campeonato
1;Água Santa;1
2;Botafogo-SP;1
3;Corinthians;1
4;Guarani;1
5;Inter de Limeira;1
6;Mirassol;1
7;Noroeste;1
8;Novorizontino;1
9;Palmeiras;1
10;Ponte Preta;1
11;Portuguesa;1
12;RB Bragantino;1
13;Santos;1
14;São Bernardo;1
15;São Paulo;1
16;Velo Clube;1
17;Andraus;2
18;Athletico Paranaense;2
19;Azuriz;2
20;Cascavel;2
21;Cianorte;2
22;Coritiba;2
23;Londrina;2
24;Maringa;2
25;Operario Ferroviario;2
26;Parana Clube;2
27;Rio Branco;2
28;São Joseense;2
29;Avenida;3
30;Brasil de Pelotas;3
31;Caxias;3
32;Gremio;3
33;Guarany de Bage;3
34;Internacional;3
35;Juventude;3
36;Monsoon;3
37;Pelotas;3
38;São Jose;3
39;São Luiz;3
40;Ypiranga;3
41;America-MG;4
42;Athletic Club;4
43;Atlético Mineiro;4
44;Aymores;4
45;Betim;4
46;Cruzeiro;4
47;Democrata-GV;4
48;Itabirito;4
49;Pouso Alegre;4
50;Tombense;4
51;Uberlandia;4
52;Villa Nova;4
53;Bangu;5
54;Boavista;5
55;Botafogo;5
56;Flamengo;5
57;Fluminense;5
58;Madureira;5
59;Marica;5
60;Nova Iguacu;5
61;Portuguesa-RJ;5
62;Sampaio Correa;5
63;Vasco da Gama;5
64;Volta Redonda;5
